id,lastLogOff,timeCreated,accountAge,accountAgePersonal,nrOfGamesOwned,totalNumberOfGamesPlayedFriends,meanNumberOfPGameslayedFriends,nrOfGamesPlayed,totalPlaytime,nrOfFriends,totalPlaytimeFriends,meanPlaytimeFriends,totalNrOfGamesOwnedFriends,meanNrOfGamesOwnedFriends,totalAccountAgeFriends,meanAccountAgeFriends,totalAccountAgeFriendsPersonal,meanAccountAgeFriendsPersonal
7.656119813179827e+16,1511676953.0,1396470205.0,115686959.0,115206748.0,29.0,217.0,10.85,15.0,149181.0,20.0,739762.0,36988.1,459.0,22.95,2851159196.0,142557959.8,2770484875.0,138524243.75
7.656119807011954e+16,1511808693.0,1345901858.0,166255306.0,165906835.0,101.0,7305.0,169.88372093023256,81.0,54788.0,43.0,8715021.0,202674.90697674418,10839.0,252.06976744186048,7007397470.0,162962731.8604651,6986531787.0,162477483.41860464
7.656119807277198e+16,1510265061.0,1349211011.0,162946153.0,161054050.0,4.0,195.0,16.25,4.0,26791.0,12.0,441244.0,36770.333333333336,231.0,19.25,2238163026.0,186513585.5,2156283859.0,179690321.58333334
7.656119802236163e+16,1511793731.0,1268481795.0,243675369.0,243311936.0,75.0,1397.0,199.57142857142858,23.0,150774.0,7.0,1487735.0,212533.57142857142,2102.0,300.2857142857143,1285418073.0,183631153.2857143,1281517120.0,183073874.2857143
7.656119826817693e+16,1511124536.0,1450104390.0,62052774.0,61020146.0,23.0,359.0,39.888888888888886,17.0,72663.0,9.0,672594.0,74732.66666666667,522.0,58.0,652988375.0,72554263.8888889,643978312.0,71553145.77777778
7.656119807841869e+16,1511760581.0,1355565600.0,156591564.0,156194981.0,68.0,488.0,61.0,50.0,133314.0,8.0,1316884.0,164610.5,651.0,81.375,1488973712.0,186121714.0,1483721479.0,185465184.875
7.656119835399115e+16,1511814461.0,1482769751.0,29387413.0,29044710.0,4.0,64.0,10.666666666666666,3.0,39250.0,6.0,404694.0,67449.0,77.0,12.833333333333334,586473854.0,97745642.33333333,582388455.0,97064742.5
7.656119799204262e+16,1511909487.0,1187628274.0,324528890.0,324281213.0,32.0,252.0,42.0,19.0,169673.0,6.0,457369.0,76228.16666666667,385.0,64.16666666666667,1142481564.0,190413594.0,1135658890.0,189276481.66666666
7.656119805376931e+16,1508021455.0,1322846872.0,189310292.0,185174583.0,22.0,76.0,12.666666666666666,18.0,46828.0,6.0,436327.0,72721.16666666667,188.0,31.333333333333332,896581624.0,149430270.66666666,826168540.0,137694756.66666666
7.656119797756118e+16,1511442845.0,1124262581.0,387894583.0,387180264.0,16.0,169.0,28.166666666666668,13.0,158550.0,6.0,1507430.0,251238.33333333334,268.0,44.666666666666664,1436448320.0,239408053.33333334,1432136891.0,238689481.83333334
